frame_left,frame_right,frame_top,frame_bottom,xL,yL,xR,yR,xT,yT,xB,yB,id,confidence
4,4,4,4,392.000,140.000,412.000,154.000,392.000,140.000,412.000,154.000,4024,0.851013
4,4,4,4,410.000,55.000,432.000,58.000,410.000,55.000,432.000,58.000,4025,0.845982
4,4,4,4,370.000,92.000,388.000,98.000,370.000,92.000,388.000,98.000,4026,0.844514
4,4,4,4,367.000,24.000,383.000,20.000,367.000,24.000,383.000,20.000,4027,0.842672
4,4,4,4,371.000,106.000,389.000,116.000,371.000,106.000,389.000,116.000,4028,0.841732
4,4,4,4,406.000,56.000,424.000,61.000,406.000,56.000,424.000,61.000,4029,0.841412
4,4,4,4,200.000,335.000,199.000,348.000,200.000,335.000,199.000,348.000,4030,0.840133
4,4,4,4,199.000,342.000,199.000,354.000,199.000,342.000,199.000,354.000,4031,0.839779
4,4,4,4,423.000,49.000,444.000,52.000,423.000,49.000,444.000,52.000,4032,0.836055
4,4,4,4,335.000,50.000,351.000,46.000,335.000,50.000,351.000,46.000,4033,0.834921
4,4,4,4,417.000,44.000,438.000,46.000,417.000,44.000,438.000,46.000,4034,0.830435
4,4,4,4,407.000,201.000,431.000,228.000,407.000,201.000,431.000,228.000,4035,0.828025
4,4,4,4,254.000,56.000,263.000,48.000,254.000,56.000,263.000,48.000,4036,0.827922
4,4,4,4,197.000,324.000,200.000,332.000,197.000,324.000,200.000,332.000,4037,0.824145
4,4,4,4,371.000,115.000,390.000,120.000,371.000,115.000,390.000,120.000,4038,0.823993
4,4,4,4,328.000,182.000,340.000,196.000,328.000,182.000,340.000,196.000,4039,0.823448
4,4,4,4,376.000,106.000,392.000,112.000,376.000,106.000,392.000,112.000,4040,0.823192
4,4,4,4,362.000,99.000,379.000,106.000,362.000,99.000,379.000,106.000,4041,0.817507
4,4,4,4,433.000,49.000,456.000,52.000,433.000,49.000,456.000,52.000,4042,0.815252
4,4,4,4,431.000,41.000,456.000,47.000,431.000,41.000,456.000,47.000,4043,0.811907
4,4,4,4,1.000,269.000,8.000,244.000,1.000,269.000,8.000,244.000,4044,0.811376
4,4,4,4,88.000,57.000,97.000,36.000,88.000,57.000,97.000,36.000,4045,0.807608
4,4,4,4,433.000,22.000,456.000,25.000,433.000,22.000,456.000,25.000,4046,0.806491
